                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.81098,                 0.9951,                 1.0718,                0.72927,                0.63864,                0.69202,                0.49458,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.84439,                0.98623,                 1.0793,                0.71361,                0.65101,                0.68347,                0.49696,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.82849,                 1.0409,                 1.0951,                0.75518,                0.60918,                0.66804,                0.48425,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.85835,                 1.0153,                 1.1022,                 0.7602,                 0.5908,                0.68235,                0.50208,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.81058,                0.97327,                 1.0697,                0.76345,                0.61879,                0.69455,                0.50529,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.80632,                0.94908,                 1.0646,                0.76993,                0.65581,                0.71903,                0.52757,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.78637,                0.95354,                 1.0635,                 0.8051,                0.61969,                0.71965,                0.52409,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.81671,                0.99273,                 1.0969,                0.74501,                0.65016,                0.70891,                0.51518,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.80328,                0.97871,                 1.0709,                0.80001,                0.63415,                0.71209,                0.51466,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 0.7957,                0.95341,                  1.072,                0.81105,                0.62739,                0.70219,                0.51009,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.80207,                0.94561,                  1.078,                0.77562,                0.65289,                0.70381,                0.51723,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.78944,                0.92719,                 1.0573,                0.77562,                0.64103,                0.70095,                0.50982,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.78345,                0.92087,                 1.0603,                0.79964,                0.64334,                 0.7276,                0.53603,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.83971,                0.95634,                 1.0771,                0.79816,                0.64183,                0.72225,                0.53228,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.75252,                 0.8986,                 1.0459,                0.75431,                0.66988,                0.72184,                0.53367,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.76694,                0.90235,                 1.0454,                0.78153,                0.64839,                0.72406,                0.54216,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.75495,                 0.8828,                 1.0363,                 0.8088,                0.66649,                0.72836,                0.54748,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.75854,                 0.8784,                 1.0536,                0.82504,                0.64889,                0.73548,                 0.5472,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.73853,                0.89138,                 1.0334,                0.80787,                0.65755,                0.73487,                0.54017,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.77745,                0.89599,                 1.0529,                0.79062,                0.65253,                0.72985,                  0.537,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.76687,                0.89023,                 1.0437,                0.77167,                0.68411,                0.73063,                0.54199,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.76972,                0.89447,                 1.0462,                0.80418,                0.62903,                0.72366,                0.52869,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.73931,                0.86843,                 1.0351,                 0.7923,                0.63965,                0.72654,                0.53554,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.73864,                0.86081,                 1.0394,                0.73176,                0.66727,                0.72235,                0.54123,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.70432,                0.84781,                 1.0328,                0.76177,                 0.6995,                0.73677,                0.54793,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.72434,                0.84307,                 1.0358,                0.74985,                0.71865,                0.73987,                0.54977,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                 0.7344,                0.87335,                 1.0232,                0.74214,                0.71092,                0.73508,                0.54672,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.69415,                0.83362,                 1.0215,                0.73712,                0.71201,                0.74118,                0.55202,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.73501,                0.83145,                 1.0308,                0.79488,                0.65849,                0.74439,                0.55674,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                 0.7179,                0.82258,                 1.0191,                  0.839,                0.62553,                0.73469,                0.55719,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.63583,                0.79788,                0.98209,                0.81998,                0.63813,                0.72687,                0.54671,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.63913,                0.76759,                0.98234,                0.83122,                0.64296,                0.72995,                0.54559,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.61079,                0.72405,                0.95755,                0.75614,                 0.6759,                 0.7341,                 0.5513,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.61383,                0.73797,                0.95782,                 0.7216,                0.72927,                0.73582,                0.55566,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.59409,                0.70649,                0.94738,                 0.7878,                0.65797,                0.73637,                0.55614,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.60046,                0.70264,                0.96605,                0.81148,                0.64115,                0.73882,                0.55946,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.60987,                0.69092,                0.96413,                0.80937,                0.65407,                 0.7416,                0.56179,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.57449,                0.68119,                 0.9367,                 0.8275,                0.65539,                0.74303,                0.56395,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.59555,                0.69814,                0.93967,                0.84842,                0.65245,                0.74414,                0.56657,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.58854,                0.67395,                0.95055,                0.85719,                0.64899,                 0.7436,                0.56728,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
